日期,销量
2019-06-07,403
2019-06-08,415
2019-06-09,396
2019-06-10,383
2019-06-11,384
2019-06-12,403
2019-06-13,402
2019-06-14,419
2019-06-15,404
2019-06-16,410
2019-06-17,400
2019-06-18,415
2019-06-19,391
2019-06-20,416
2019-06-21,388
2019-06-22,417
2019-06-23,406
2019-06-24,393
2019-06-25,418
2019-06-26,386
2019-06-27,403
2019-06-28,401
2019-06-29,411
2019-06-30,394
2019-07-01,381
2019-07-02,392
2019-07-03,390
2019-07-04,387
2019-07-05,409
2019-07-06,396
2019-07-07,406
2019-07-08,388
2019-07-09,400
2019-07-10,397
2019-07-11,401
2019-07-12,386
2019-07-13,382
2019-07-14,401
2019-07-15,400
2019-07-16,382
2019-07-17,394
2019-07-18,402
2019-07-19,397
2019-07-20,403
2019-07-21,399
2019-07-22,400
2019-07-23,386
2019-07-24,397
2019-07-25,387
2019-07-26,400
2019-07-27,403
2019-07-28,382
2019-07-29,391
2019-07-30,418
2019-07-31,400
2019-08-01,388
2019-08-02,414
2019-08-03,405
2019-08-04,419
2019-08-05,383
2019-08-06,415
2019-08-07,385
2019-08-08,384
2019-08-09,389
2019-08-10,418
2019-08-11,419
2019-08-12,414
2019-08-13,415
2019-08-14,411
2019-08-15,409
2019-08-16,386
2019-08-17,410
2019-08-18,398
2019-08-19,412
2019-08-20,401
2019-08-21,382
2019-08-22,404
2019-08-23,406
2019-08-24,381
2019-08-25,416
2019-08-26,396
2019-08-27,389
2019-08-28,396
2019-08-29,383
2019-08-30,417
2019-08-31,413
2019-09-01,418
2019-09-02,391
2019-09-03,382
2019-09-04,401
2019-09-05,404
2019-09-06,407
2019-09-07,393
2019-09-08,412
2019-09-09,402
2019-09-10,383
2019-09-11,408
2019-09-12,381
2019-09-13,389
2019-09-14,405
2019-09-15,405
2019-09-16,418
2019-09-17,417
2019-09-18,388
2019-09-19,384
2019-09-20,397
2019-09-21,385
2019-09-22,394
2019-09-23,387
2019-09-24,404
2019-09-25,398
2019-09-26,386
2019-09-27,390
2019-09-28,400
2019-09-29,381
2019-09-30,381
2019-10-01,387
2019-10-02,406
2019-10-03,399
2019-10-04,395
2019-10-05,392
2019-10-06,392
2019-10-07,392
2019-10-08,410
2019-10-09,405
2019-10-10,388
2019-10-11,400
2019-10-12,396
2019-10-13,408
2019-10-14,413
2019-10-15,404
2019-10-16,404
2019-10-17,397
2019-10-18,385
2019-10-19,419
2019-10-20,388
2019-10-21,386
2019-10-22,395
2019-10-23,410
2019-10-24,398
2019-10-25,393
2019-10-26,411
2019-10-27,410
2019-10-28,411
2019-10-29,415
2019-10-30,400
2019-10-31,385
2019-11-01,396
2019-11-02,381
2019-11-03,394
2019-11-04,399
2019-11-05,389
2019-11-06,418
2019-11-07,417
2019-11-08,395
2019-11-09,389
2019-11-10,413
2019-11-11,403
2019-11-12,413
2019-11-13,400
2019-11-14,394
2019-11-15,411
2019-11-16,417
2019-11-17,410
2019-11-18,414
2019-11-19,400
2019-11-20,400
2019-11-21,414
2019-11-22,415
2019-11-23,393
2019-11-24,411
2019-11-25,396
2019-11-26,411
2019-11-27,408
2019-11-28,410
2019-11-29,408
2019-11-30,382
2019-12-01,405
2019-12-02,381
2019-12-03,384
2019-12-04,391
2019-12-05,419
2019-12-06,411
2019-12-07,383
2019-12-08,396
2019-12-09,391
2019-12-10,413
2019-12-11,408
2019-12-12,390
2019-12-13,405
2019-12-14,400
2019-12-15,398
2019-12-16,407
2019-12-17,398
2019-12-18,385
2019-12-19,416
2019-12-20,392
2019-12-21,399
2019-12-22,409
2019-12-23,409
2019-12-24,398
2019-12-25,395
2019-12-26,385
2019-12-27,400
2019-12-28,407
2019-12-29,408
2019-12-30,382
2019-12-31,411
