category,title,price,nums,name,brand,symptoms,type
补肾壮阳,南京同仁堂 养血补肾丸32袋 9g*8袋*4盒 补肝肾益精血用于腰膝酸软少白头头晕目眩 乐家老铺同仁堂补肾填精中药治肾虚,199.00,15000,乐家老铺养血补肾丸,乐家老铺,须发早白,空
补肾壮阳,仲景 左归丸45g 中药男女滋阴补肾阴虚亏壮阳腰膝酸软神疲口燥盗汗药品 推荐6盒1疗程,79.00,4300,仲景45g,仲景,腰膝酸软，盗汗,肾阴亏
补肾壮阳,济民可信金水宝胶囊72粒 补肾治疗阳痿早泄肾虚 腰膝酸软月经不调耳鸣久咳虚喘神倦乏力虫草菌粉,68.00,1300,济民可信金水宝胶囊,济民可信,空,其它
补肾壮阳,汇仁 六味地黄丸 8丸*45袋 男女肾虚肾亏中药品滋阴补肾,78.00,580000,汇仁六味地黄丸 8丸*45袋 肾阴亏损 腰膝酸软,汇仁,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,同仁堂 TRT 左归丸 9g*6袋 滋阴补肾 北京同仁堂,90.00,11000,同仁堂左归丸 9g*6袋,同仁堂（TRT）,腰膝酸软，盗汗,空
补肾壮阳,同仁堂 六味地黄丸（大蜜丸）9g*10丸 滋阴补肾 北京同仁堂,24.80,840000,同仁堂9克10丸,同仁堂（TRT）,腰膝酸软，头晕耳鸣,肾阴亏
补肾壮阳,同仁堂 益肾乌发口服液 10ml*10支 补肝肾乌须发 北京同仁堂,68.00,840000,同仁堂益肾乌发口服液,同仁堂（TRT）,须发早白，脱发,脱发
补肾壮阳,汇仁 六味地黄丸 8丸*90袋滋阴补肾盗汗遗精头晕耳鸣腰膝酸软肾亏肾阴亏男女同补,148.00,10000,汇仁六味地黄丸 8丸*90袋,汇仁,腰膝酸软，盗汗,肾阴亏
补肾壮阳,九芝堂 桂附地黄丸（浓缩丸）360丸 补肾壮阳男性药肾虚腰膝酸软肢冷尿频滋补药品,39.80,72000,九芝堂桂附地黄丸,九芝堂,腰膝酸软,其它
补肾壮阳,白云山 花城 龟鹿补肾丸 4.5g*12袋 补肾壮阳 性欲减退失眠精神疲乏,23.80,29000,白云山4.5g*12袋,白云山,失眠健忘,肾阳虚
补肾壮阳,国华 天麻首乌片 200片 滋阴补肾 脂溢性脱发 脱发 白发,48.00,29000,国华200片,国华,空,空
补肾壮阳,汇仁 肝肾安颗粒 4.5g*30袋补肝肾头晕目花耳鸣肢麻乌发中药,298.00,5000,汇仁汇仁 肝肾安颗粒 4.5g*30袋,汇仁,须发早白,肝肾不足
补肾壮阳,九芝堂 知柏地黄丸（浓缩丸）360丸 滋阴降火阴虚火旺耳鸣潮热盗汗遗精口干咽痛男女性药品,39.80,43000,九芝堂知柏地黄丸,九芝堂,盗汗，耳鸣,其它
补肾壮阳,同仁堂 六味地黄丸（水蜜丸） 360丸 滋阴补肾 北京同仁堂,20.60,840000,同仁堂360丸,同仁堂（TRT）,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,汇仁 肾宝合剂 200ml 肾虚肾亏补肾中药肾气丸滋阴壮阳 新品,88.00,16000,汇仁肾宝合剂,汇仁,腰膝酸软，腰痛,肾阳虚，肾阴亏
补肾壮阳,美迪生 还少胶囊 50粒 温肾补肾 阳萎遗精 精血亏耗,65.00,14000,美迪生还少胶囊 50粒,美迪生,空,空
补肾壮阳,同仁堂 防衰益寿丸 3g*20丸 同仁堂御品 滋阴助阳 培元固本 北京同仁堂,1059.00,300,同仁堂 防衰益寿丸 3g*20丸 同仁堂御品 滋阴助阳 培元固本 北京同仁堂,同仁堂（TRT）,空,阴阳亏虚
补肾壮阳,白云山 中一固肾生发丸 30g/盒 固肾养血 斑秃肝肾虚脱发生发,48.00,33000,白云山30g/盒,白云山,空,脱发
补肾壮阳,同仁堂 知柏地黄丸（水蜜丸）360丸 滋阴降火 北京同仁堂,12.80,140000,同仁堂360粒,同仁堂（TRT）,耳鸣,空
补肾壮阳,古汉养生精片180片 补气滋肾更年期综合征体虚头晕心悸失眠健忘,258.00,31000,古汉180片,古汉,空,空
补肾壮阳,佐力 乌灵胶囊27粒 补肾健脑 养心安神 头晕耳鸣 失眠神经衰弱,35.00,23000,佐力乌灵胶囊,佐力,腰膝酸软,空
补肾壮阳,九芝堂 生发丸 6g/袋*12袋/盒 填精滋肾乌须黑发早白肝肾虚脱发治白发斑秃中滋补药品,128.00,3800,九芝堂生发丸,九芝堂,脱发,脱发
补肾壮阳,济民可信金水宝胶囊90粒*3小盒 补肾治疗阳痿早泄肾虚 腰膝酸软月经不调耳鸣神倦乏力虫草粉菌CS-4,268.00,1300,济民可信金水宝胶囊,济民可信,空,其它
补肾壮阳,乐家老铺 南京同仁堂 养血补肾丸 48袋 9克*8袋*6盒 补肝肾益精血用于肝肾不足所致腰膝不利头昏目眩须发早白,298.00,15000,乐家老铺南京同仁堂 养血补肾丸 9克*8袋*6盒,乐家老铺,须发早白,空
补肾壮阳,九芝堂 补肾固齿丸 8袋 补肾滋补固齿活血解毒 牙齿酸软咀嚼无力 松动移位慢性牙周炎,48.00,16000,九芝堂8袋,九芝堂,空,空
补肾壮阳,恩威 六味地黄丸胶囊 60粒 一日两次 一次一粒 滋阴补肾 肾阴亏损 腰膝酸软 盗汗遗精 头晕耳鸣六位药品,56.00,10000,恩威0.3g*60粒,恩威,腰膝酸软，头晕耳鸣，盗汗，耳鸣，其它,肾阴亏，其它
补肾壮阳,仲景 知柏地黄丸(浓缩丸)300丸 滋阴降火潮热盗汗阴虚火旺耳鸣遗精咽痛小便短赤 推荐4盒1疗程,29.00,210000,仲景知柏地黄丸,仲景,耳鸣,其它
补肾壮阳,同仁堂 鹿角胶 6g*18块 温补肝肾益精养血 血虚头晕腰膝酸冷虚劳消瘦,1380.00,300,同仁堂鹿角胶 6g*18块 温补肝肾益精养血 血虚头晕腰膝酸冷虚劳消瘦,同仁堂（TRT）,腰膝酸软，畏寒怕冷，四肢不温，头晕耳鸣，神疲乏力,遗精早泄，阳痿不育，肾阳虚，肾精亏虚
补肾壮阳,以岭 八子补肾胶囊 100粒 补肾温阳腰膝酸痛头晕耳鸣健忘,388.00,3500,以岭八子补肾胶囊 100粒,以岭（YILING）,腰膝酸软，头晕耳鸣,空
补肾壮阳,同仁堂 壮腰健肾丸 5.6g*10丸 壮腰健肾养血祛风湿 北京同仁堂,15.00,34000,同仁堂5.6g*10丸,同仁堂（TRT）,空,空
补肾壮阳,仲景 六味地黄丸（浓缩丸）360丸 宛西制药 滋阴补肾虚耳鸣盗汗遗精,45.00,210000,仲景360丸,仲景,腰膝酸软,肾阴亏
补肾壮阳,九芝堂 杞菊地黄丸（浓缩丸）360丸 滋肾养肝视力模糊头晕目涩耳鸣肾虚补肾抗疲劳药品,39.80,72000,九芝堂杞菊地黄丸,九芝堂,空,其它
补肾壮阳,汇仁 肾宝片 126片 调和阴阳温阳补肾扶正固本 男女同补补肾中成药品,322.00,400000,汇仁肾宝片 0.7g*126片,汇仁,畏寒怕冷,阴阳亏虚
补肾壮阳,汇仁 肾宝片 126片 肾虚肾亏补肾中药肾气丸滋阴壮阳 推荐2盒1疗程,322.00,400000,汇仁0.7g*126片,汇仁,畏寒怕冷,肾阳虚，阴阳亏虚
风湿骨外伤,白云山 陈李济 舒筋健腰丸45g*10瓶 补益肝肾 强健筋骨 驱风除湿 活络止痛,890.00,57000,陈李济舒筋健腰丸45g*10瓶,陈李济,腰痛,腰椎间盘突出
补肾壮阳,同仁堂 六味地黄丸（浓缩丸）300丸 （男女肾虚肾亏中药品滋阴补肾）六味地黄丸,49.50,840000,同仁堂300丸 每8丸重1.44克,同仁堂（TRT）,空,肾阴亏
补肾壮阳,汇仁 肾宝片礼盒装 126片*4盒礼盒装温阳补肾肾虚肾亏京东自营旗舰店,1188.00,32000,汇仁肾宝片礼盒装 126片*4盒,汇仁,腰膝酸软,肾阳虚，肾阴亏
补肾壮阳,九芝堂 六味地黄丸（浓缩丸）618丸 滋阴补肾腰膝酸软遗精男女药六位滋补药品,49.90,690000,九芝堂九芝堂 六味地黄丸 618丸 滋阴补肾,九芝堂,腰膝酸软,肾阴亏
补肾壮阳,成博士 参花消渴茶 60袋 滋阴补肾 益气生津 适用于Ⅱ型糖尿病,495.00,10000,成博士3g*60袋,成博士,空,空
补肾壮阳,同仁堂 五子衍宗丸 60g/瓶 肾虚精亏所致的阳痿不育遗精早泄腰痛尿后余沥 北京同仁堂,26.00,460000,同仁堂60g*1瓶/盒,同仁堂（TRT）,腰痛,阳痿不育
补肾壮阳,【大包装，更优惠】汇仁 肾宝片 126片*4盒 调和阴阳 温阳补肾 高端木质礼盒装 2个疗程,1188.00,32000,汇仁126片*4盒,汇仁,腰膝酸软，畏寒怕冷,阴阳亏虚
补肾壮阳,【试用装】汇仁 肾宝片 45片 肾虚肾亏补肾中药肾气丸滋阴壮阳,125.00,150000,汇仁肾宝片,汇仁,腰膝酸软，畏寒怕冷,阴阳亏虚
补肾壮阳,同仁堂 锁阳固精丸 9克*10丸 补肾固精腰膝酸软遗精早泄 北京同仁堂,28.00,460000,同仁堂9克*10丸,同仁堂（TRT）,腰膝酸软，头晕耳鸣,遗精早泄
风湿骨外伤,葛洪 桂龙药膏202g*6瓶 祛风除湿舒筋活络温肾补血用于风湿骨痛 慢性腰腿痛 6瓶礼盒装,1290.00,11000,葛洪桂龙药膏 202g*6瓶,葛洪,风湿骨痛,风湿骨痛
补肾壮阳,九芝堂 六味地黄丸（浓缩丸）360丸 滋阴补肾 腰膝酸软遗精 男女滋补药六位药品,32.80,690000,九芝堂360丸,九芝堂,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,仲景 六味地黄丸(浓缩丸)360丸*2瓶/盒 中药滋阴补肾虚亏壮阳腰膝酸软男女六位药 推荐3盒1疗程,58.00,210000,仲景六味地黄丸,仲景,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,济民可信金水宝胶囊72粒 治疗阳痿早泄肾虚 补益肺肾 腰膝痠软 中药 虫草菌粉CS-4,58.00,140000,济民可信济民可信 金水宝胶囊 9粒*8板,济民可信,空,其它
补肾壮阳,金水宝胶囊 108粒 补益肺肾 腰膝痠软 药品 虫草菌粉CS-4,88.00,140000,济民可信金水宝胶囊9粒*12板,济民可信,空,其它
补肾壮阳,汇仁 肾宝片 45片 汇仁旗舰店温阳补肾 腰腿酸软,125.00,150000,汇仁汇仁 肾宝片 45片,汇仁,腰膝酸软，畏寒怕冷,阴阳亏虚
补肾壮阳,同仁堂 六味地黄丸(浓缩丸)120丸 肾阴虚滋阴补肾耳鸣腰膝酸软遗精六位药 北京同仁堂,19.80,840000,同仁堂120丸,同仁堂（TRT）,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,阿房宫 虫草双参酒 500ml 腰膝酸软 益气活血 补肾健脾,495.00,1700,阿房宫虫草双参酒 500ml,阿房宫,腰膝酸软，神疲乏力,其它
补肾壮阳,古汉 养生精口服液10ml*30支 补气滋阴补肾失眠健脑益肾安神补脑疲乏无力,79.00,31000,古汉10ml/支*30支,古汉,头晕耳鸣,空
补肾壮阳,前列康 康恩贝 普乐安胶囊 0.375g*120粒 用于前列腺疾病引起的尿不尽尿滴沥 肾气不固腰膝酸软 油菜蜂花粉,67.00,390000,前列康前列康 普乐安胶囊0.375g*120粒,前列康,空,空
补肾壮阳,太极五子衍宗丸(浓缩丸) 120丸 补肾早泄阳痿遗精,60.00,100000,太极120丸,太极,腰痛,肾阳虚
补肾壮阳,同仁堂 六味地黄软胶囊 60粒/瓶 滋阴补肾六味地黄丸药品 北京同仁堂,45.00,840000,同仁堂六味地黄软胶囊 60粒,同仁堂（TRT）,腰膝酸软，头晕耳鸣，盗汗，耳鸣,肾阴亏
补肾壮阳,京果 海狗丸 0.2g*120丸 温肾助阳 用于肾阳虚引起的腰膝酸软 神疲乏力 肢体困倦 怕冷 夜尿频多 气短作喘,62.00,27000,京果0.2g*120丸,京果,腰膝酸软,肾阳虚
补肾壮阳,同仁堂 五子衍宗丸 9g*10丸 补肾益精阳痿不育遗精早泄药 北京同仁堂,28.00,460000,同仁堂五子衍宗丸9克*10丸,同仁堂（TRT）,腰痛，尿后余淋,阳痿不育
补肾壮阳,前列康 康恩贝 普乐安片 0.57g*150片 补肾固本腰膝酸软尿后余沥,36.00,390000,前列康前列康 普乐安片 0.57g*150片,前列康,空,空
补肾壮阳,同仁堂 人参鹿茸丸 9g*10丸 肾精不足 气血两亏 腰腿酸软 北京同仁堂,338.00,460000,同仁堂人参鹿茸丸 9g*10丸,同仁堂（TRT）,空,空
补肾壮阳,济民可信 金水宝胶囊90粒*3小盒 30周年礼盒装 虫草菌粉 补肾益肺养精气,268.00,140000,济民可信金水宝胶囊 0.33g*9粒*10板*3小盒/大盒,济民可信,空,其它
补肾壮阳,南京同仁堂 养血补肾丸32袋 9g*8袋*4盒 补肝肾益精血用于腰膝酸软少白头头晕目眩 乐家老铺同仁堂补肾填精中药治肾虚,199.00,15000,乐家老铺养血补肾丸,乐家老铺,须发早白,空
补肾壮阳,仲景 左归丸45g 中药男女滋阴补肾阴虚亏壮阳腰膝酸软神疲口燥盗汗药品 推荐6盒1疗程,79.00,4300,仲景45g,仲景,腰膝酸软，盗汗,肾阴亏
补肾壮阳,济民可信金水宝胶囊72粒 补肾治疗阳痿早泄肾虚 腰膝酸软月经不调耳鸣久咳虚喘神倦乏力虫草菌粉,68.00,1300,济民可信金水宝胶囊,济民可信,空,其它
补肾壮阳,汇仁 六味地黄丸 8丸*45袋 男女肾虚肾亏中药品滋阴补肾,78.00,580000,汇仁六味地黄丸 8丸*45袋 肾阴亏损 腰膝酸软,汇仁,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,同仁堂 TRT 左归丸 9g*6袋 滋阴补肾 北京同仁堂,90.00,11000,同仁堂左归丸 9g*6袋,同仁堂（TRT）,腰膝酸软，盗汗,空
补肾壮阳,同仁堂 六味地黄丸（大蜜丸）9g*10丸 滋阴补肾 北京同仁堂,24.80,840000,同仁堂9克10丸,同仁堂（TRT）,腰膝酸软，头晕耳鸣,肾阴亏
补肾壮阳,同仁堂 益肾乌发口服液 10ml*10支 补肝肾乌须发 北京同仁堂,68.00,840000,同仁堂益肾乌发口服液,同仁堂（TRT）,须发早白，脱发,脱发
补肾壮阳,汇仁 六味地黄丸 8丸*90袋滋阴补肾盗汗遗精头晕耳鸣腰膝酸软肾亏肾阴亏男女同补,148.00,10000,汇仁六味地黄丸 8丸*90袋,汇仁,腰膝酸软，盗汗,肾阴亏
补肾壮阳,九芝堂 桂附地黄丸（浓缩丸）360丸 补肾壮阳男性药肾虚腰膝酸软肢冷尿频滋补药品,39.80,72000,九芝堂桂附地黄丸,九芝堂,腰膝酸软,其它
补肾壮阳,白云山 花城 龟鹿补肾丸 4.5g*12袋 补肾壮阳 性欲减退失眠精神疲乏,23.80,29000,白云山4.5g*12袋,白云山,失眠健忘,肾阳虚
补肾壮阳,国华 天麻首乌片 200片 滋阴补肾 脂溢性脱发 脱发 白发,48.00,29000,国华200片,国华,空,空
补肾壮阳,汇仁 肝肾安颗粒 4.5g*30袋补肝肾头晕目花耳鸣肢麻乌发中药,298.00,5000,汇仁汇仁 肝肾安颗粒 4.5g*30袋,汇仁,须发早白,肝肾不足
补肾壮阳,九芝堂 知柏地黄丸（浓缩丸）360丸 滋阴降火阴虚火旺耳鸣潮热盗汗遗精口干咽痛男女性药品,39.80,43000,九芝堂知柏地黄丸,九芝堂,盗汗，耳鸣,其它
补肾壮阳,同仁堂 六味地黄丸（水蜜丸） 360丸 滋阴补肾 北京同仁堂,20.60,840000,同仁堂360丸,同仁堂（TRT）,腰膝酸软，头晕耳鸣，盗汗,肾阴亏
补肾壮阳,汇仁 肾宝合剂 200ml 肾虚肾亏补肾中药肾气丸滋阴壮阳 新品,88.00,16000,汇仁肾宝合剂,汇仁,腰膝酸软，腰痛,肾阳虚，肾阴亏
补肾壮阳,美迪生 还少胶囊 50粒 温肾补肾 阳萎遗精 精血亏耗,65.00,14000,美迪生还少胶囊 50粒,美迪生,空,空
补肾壮阳,同仁堂 防衰益寿丸 3g*20丸 同仁堂御品 滋阴助阳 培元固本 北京同仁堂,1059.00,300,同仁堂 防衰益寿丸 3g*20丸 同仁堂御品 滋阴助阳 培元固本 北京同仁堂,同仁堂（TRT）,空,阴阳亏虚
补肾壮阳,白云山 中一固肾生发丸 30g/盒 固肾养血 斑秃肝肾虚脱发生发,48.00,33000,白云山30g/盒,白云山,空,脱发
补肾壮阳,同仁堂 知柏地黄丸（水蜜丸）360丸 滋阴降火 北京同仁堂,12.80,140000,同仁堂360粒,同仁堂（TRT）,耳鸣,空
补肾壮阳,古汉养生精片180片 补气滋肾更年期综合征体虚头晕心悸失眠健忘,258.00,31000,古汉180片,古汉,空,空
补肾壮阳,佐力 乌灵胶囊27粒 补肾健脑 养心安神 头晕耳鸣 失眠神经衰弱,35.00,23000,佐力乌灵胶囊,佐力,腰膝酸软,空
补肾壮阳,九芝堂 生发丸 6g/袋*12袋/盒 填精滋肾乌须黑发早白肝肾虚脱发治白发斑秃中滋补药品,128.00,3800,九芝堂生发丸,九芝堂,脱发,脱发
补肾壮阳,济民可信金水宝胶囊90粒*3小盒 补肾治疗阳痿早泄肾虚 腰膝酸软月经不调耳鸣神倦乏力虫草粉菌CS-4,268.00,1300,济民可信金水宝胶囊,济民可信,空,其它
补肾壮阳,乐家老铺 南京同仁堂 养血补肾丸 48袋 9克*8袋*6盒 补肝肾益精血用于肝肾不足所致腰膝不利头昏目眩须发早白,298.00,15000,乐家老铺南京同仁堂 养血补肾丸 9克*8袋*6盒,乐家老铺,须发早白,空
补肾壮阳,九芝堂 补肾固齿丸 8袋 补肾滋补固齿活血解毒 牙齿酸软咀嚼无力 松动移位慢性牙周炎,48.00,16000,九芝堂8袋,九芝堂,空,空
补肾壮阳,恩威 六味地黄丸胶囊 60粒 一日两次 一次一粒 滋阴补肾 肾阴亏损 腰膝酸软 盗汗遗精 头晕耳鸣六位药品,56.00,10000,恩威0.3g*60粒,恩威,腰膝酸软，头晕耳鸣，盗汗，耳鸣，其它,肾阴亏，其它
补肾壮阳,仲景 知柏地黄丸(浓缩丸)300丸 滋阴降火潮热盗汗阴虚火旺耳鸣遗精咽痛小便短赤 推荐4盒1疗程,29.00,210000,仲景知柏地黄丸,仲景,耳鸣,其它
补肾壮阳,同仁堂 鹿角胶 6g*18块 温补肝肾益精养血 血虚头晕腰膝酸冷虚劳消瘦,1380.00,300,同仁堂鹿角胶 6g*18块 温补肝肾益精养血 血虚头晕腰膝酸冷虚劳消瘦,同仁堂（TRT）,腰膝酸软，畏寒怕冷，四肢不温，头晕耳鸣，神疲乏力,遗精早泄，阳痿不育，肾阳虚，肾精亏虚
补肾壮阳,以岭 八子补肾胶囊 100粒 补肾温阳腰膝酸痛头晕耳鸣健忘,388.00,3500,以岭八子补肾胶囊 100粒,以岭（YILING）,腰膝酸软，头晕耳鸣,空
补肾壮阳,同仁堂 壮腰健肾丸 5.6g*10丸 壮腰健肾养血祛风湿 北京同仁堂,15.00,34000,同仁堂5.6g*10丸,同仁堂（TRT）,空,空
补肾壮阳,仲景 六味地黄丸（浓缩丸）360丸 宛西制药 滋阴补肾虚耳鸣盗汗遗精,45.00,210000,仲景360丸,仲景,腰膝酸软,肾阴亏
补肾壮阳,九芝堂 杞菊地黄丸（浓缩丸）360丸 滋肾养肝视力模糊头晕目涩耳鸣肾虚补肾抗疲劳药品,39.80,72000,九芝堂杞菊地黄丸,九芝堂,空,其它
补肾壮阳,汇仁 肾宝片 126片 调和阴阳温阳补肾扶正固本 男女同补补肾中成药品,322.00,400000,汇仁肾宝片 0.7g*126片,汇仁,畏寒怕冷,阴阳亏虚
补肾壮阳,汇仁 肾宝片 126片 肾虚肾亏补肾中药肾气丸滋阴壮阳 推荐2盒1疗程,322.00,400000,汇仁0.7g*126片,汇仁,畏寒怕冷,肾阳虚，阴阳亏虚
风湿骨外伤,白云山 陈李济 舒筋健腰丸45g*10瓶 补益肝肾 强健筋骨 驱风除湿 活络止痛,890.00,57000,陈李济舒筋健腰丸45g*10瓶,陈李济,腰痛,腰椎间盘突出
补肾壮阳,同仁堂 六味地黄丸（浓缩丸）300丸 （男女肾虚肾亏中药品滋阴补肾）六味地黄丸,49.50,840000,同仁堂300丸 每8丸重1.44克,同仁堂（TRT）,空,肾阴亏
补肾壮阳,汇仁 肾宝片礼盒装 126片*4盒礼盒装温阳补肾肾虚肾亏京东自营旗舰店,1188.00,32000,汇仁肾宝片礼盒装 126片*4盒,汇仁,腰膝酸软,肾阳虚，肾阴亏
补肾壮阳,九芝堂 六味地黄丸（浓缩丸）618丸 滋阴补肾腰膝酸软遗精男女药六位滋补药品,49.90,690000,九芝堂九芝堂 六味地黄丸 618丸 滋阴补肾,九芝堂,腰膝酸软,肾阴亏
补肾壮阳,成博士 参花消渴茶 60袋 滋阴补肾 益气生津 适用于Ⅱ型糖尿病,495.00,10000,成博士3g*60袋,成博士,空,空
补肾壮阳,同仁堂 五子衍宗丸 60g/瓶 肾虚精亏所致的阳痿不育遗精早泄腰痛尿后余沥 北京同仁堂,26.00,460000,同仁堂60g*1瓶/盒,同仁堂（TRT）,腰痛,阳痿不育
补肾壮阳,【大包装，更优惠】汇仁 肾宝片 126片*4盒 调和阴阳 温阳补肾 高端木质礼盒装 2个疗程,1188.00,32000,汇仁126片*4盒,汇仁,腰膝酸软，畏寒怕冷,阴阳亏虚
